n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,class_weight,random_state,verbose,roc_auc
402,0.062184427555202704,4,74,50,0.9148207385480989,0.7529712016178665,balanced,42,-1,0.9849001175088132
159,0.04175172110051223,13,143,73,0.8906587454137145,0.7156903154114211,balanced,42,-1,0.9882092496222931
180,0.09027543085570722,14,129,65,0.9676176641029228,0.693767045334398,balanced,42,-1,0.9851896927983885
352,0.04626372297373928,11,38,65,0.816631315205405,0.6736707910217479,balanced,42,-1,0.9845958536175927
360,0.05732696457167895,11,75,70,0.7198122031899084,0.9152360147391914,balanced,42,-1,0.9819938727547423
389,0.08063263172835247,15,83,35,0.6507188522404547,0.7533071755145441,balanced,42,-1,0.983855128420346
479,0.010535969533328908,9,124,42,0.6578623736626026,0.6951259073844327,balanced,42,-1,0.989292009400705
398,0.058082043680897866,10,105,36,0.7118364932383681,0.7623116397287597,balanced,42,-1,0.9822624643276817
196,0.06367940769911062,4,107,38,0.7253911634942577,0.7666985685162104,balanced,42,-1,0.9878273459795198
282,0.08387286088238793,12,74,49,0.6760536020187908,0.9182936241916628,balanced,42,-1,0.9822897431593085
491,0.01287547193561735,7,28,8,0.6004066597219228,0.6007182167082223,balanced,42,-1,0.9878021655195568
105,0.011175603183520934,8,149,93,0.8378265193017651,0.8536380436114956,balanced,42,-1,0.9889184992445862
104,0.012005412521274163,8,147,100,0.8177197526289866,0.8456982212063877,balanced,42,-1,0.9893465670639583
490,0.026249119955344808,7,125,99,0.7632952576356429,0.8518764448503514,balanced,42,-1,0.9853113983548766
279,0.023433993145457764,8,112,15,0.7829103682405112,0.9671821404460332,balanced,42,-1,0.9805921604834648
239,0.028403743004075832,6,133,88,0.8642903766686434,0.6303640188550956,balanced,42,-1,0.9891094510659729
109,0.037002376125392214,9,96,83,0.6163270513711072,0.834976287289142,balanced,42,-1,0.9892437468524425
447,0.018245877262908754,6,54,24,0.9510282507338108,0.8161011155246803,balanced,42,-1,0.9856555313077052
309,0.03304647898120954,9,117,58,0.7596775278008936,0.8970349581736262,balanced,42,-1,0.9833683061943931
443,0.07262251500164128,10,140,28,0.6751008482992006,0.9974012457534425,balanced,42,-1,0.9794842202450897
229,0.09990264193880988,5,95,82,0.9977463146187917,0.6538134576791201,balanced,42,-1,0.9835697498740976
102,0.03772824656546366,9,96,82,0.6091042115138237,0.8158903778307066,balanced,42,-1,0.9892605338257512
143,0.019809901718146637,8,122,96,0.6449182349328019,0.7943761774006304,balanced,42,-1,0.9894766661071009
141,0.019138453557239886,8,123,99,0.6437189050217904,0.7850543980511167,balanced,42,-1,0.9901324072519726
146,0.020033958691166285,7,150,100,0.8120744622995886,0.7990985504592253,balanced,42,-1,0.9896162078227295
143,0.020019750070343366,7,136,90,0.6411827066107347,0.7901866776903121,balanced,42,-1,0.9903999496390801
143,0.031168728584939992,6,135,89,0.6947607630968943,0.7934235101815569,balanced,42,-1,0.9894787644787646
220,0.01981137803016159,7,149,76,0.7417589550312647,0.7845976224973683,balanced,42,-1,0.9894388954171562
183,0.04812164099244569,5,136,91,0.786643692418648,0.728188446866381,balanced,42,-1,0.9887548262548262
136,0.02338617710098098,4,113,100,0.8561940111773716,0.7295924402874651,balanced,42,-1,0.9907356891052543
206,0.05117063241624889,4,115,78,0.911280273112643,0.728290417811404,balanced,42,-1,0.988526103743495
149,0.02383447658197442,5,131,100,0.8501241843864928,0.8758660501834465,balanced,42,-1,0.9900914890045325
164,0.025838411878305684,5,103,86,0.8541233414223822,0.8759439964298636,balanced,42,-1,0.9903621789491355
176,0.03867984625472067,4,105,86,0.8748220025103031,0.7374752275458952,balanced,42,-1,0.9900589642437468
125,0.03112712720111943,5,88,93,0.9160933427735655,0.7047422120411737,balanced,42,-1,0.9909644116165854
168,0.04207285306026032,5,87,71,0.9248595680965558,0.6876429419577815,balanced,42,-1,0.9902593587376195
123,0.032908497875074424,4,64,62,0.8960798361478735,0.7018988991337699,balanced,42,-1,0.9910095266073529
129,0.03484355943857704,4,60,65,0.8957806666669286,0.7056355060862994,balanced,42,-1,0.9912581836494879
125,0.043791032205000135,4,59,61,0.895843091780682,0.6618497844955324,balanced,42,-1,0.9911060517038779
125,0.04428900941988242,4,58,61,0.8986748196893437,0.658490204057519,balanced,42,-1,0.9910661826422696
254,0.044015520844958016,4,55,61,0.9478459876497424,0.6599533159107923,balanced,42,-1,0.9889520731912036
121,0.033326715270016384,4,64,52,0.9000187257016898,0.7057009158472979,balanced,42,-1,0.9912025768004029
118,0.053111874546180604,4,59,51,0.8877201185749884,0.6285105532934645,balanced,42,-1,0.990905657210005
194,0.04778010233649332,6,65,65,0.8941058981077187,0.6703341791101377,balanced,42,-1,0.9871936377371159
122,0.05959426658897024,14,44,46,0.936739202251862,0.6379662100652763,balanced,42,-1,0.9887170555648818
162,0.03543428743942778,4,71,59,0.8835232224251939,0.6902031781940484,balanced,42,-1,0.990834312573443
123,0.06738916440888507,5,42,56,0.9668974240764444,0.6059144727379385,balanced,42,-1,0.9895249286553635
337,0.04148573964636117,4,78,65,0.8969699471273228,0.7099511158081714,balanced,42,-1,0.9870551452073191
189,0.051187914569015745,6,65,54,0.9925916326107849,0.7530161385516847,balanced,42,-1,0.9863794695316433
209,0.04537222434204442,12,48,45,0.8336450536642737,0.6747856483454809,balanced,42,-1,0.986922947792513
