n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_auc,best_n_estimators
300,0.22889664300838886,6,67,31,0.5691986641997921,0.7324087381212511,0.271580303502066,0.8165870385627798,0.992304562004712,16
234,0.08794161568758709,4,42,15,0.6841172911351167,0.7897209374875199,0.6843464644689708,0.0849667633277075,0.9919490254872563,68
327,0.20300674436302032,5,46,16,0.6332395074528493,0.6913015498043497,0.0019124447464867582,1.2853287555555875,0.9918826301135146,24
277,0.06793140760658323,5,23,19,0.7537595792430256,0.7407041376349249,0.0037301527203408066,1.0821520669707314,0.9917969586635254,67
320,0.025679988471609197,4,105,60,0.7399226956119558,0.7347434940796479,0.0012021628081455911,0.34278407873999417,0.9917262797172842,146
357,0.07245155891831837,5,49,11,0.6083798847319518,0.6922712072354696,1.5805275852971477,0.09256714445505902,0.9916170486185478,46
360,0.16763671163282212,7,53,23,0.6498601005146367,0.7626426458913125,1.106869732585806,6.321804687902886,0.991584921824802,30
214,0.04185164628825906,4,28,16,0.7000161397903902,0.6809733452565514,0.006690256456072659,0.25938783767949486,0.9915335189548082,87
314,0.17931854485372864,5,46,15,0.6573740647639897,0.692942059633426,0.0023007135767058183,1.4613643760675568,0.9915206682373099,29
207,0.06869671834209962,4,39,16,0.6904863873081103,0.6810929803003251,0.0071719473985358126,0.2676574607387827,0.9914992503748126,74
